10,대출이 가능한지 알고 싶습니다.,새마을금고마다 금리 & 조건 등이 차이가 있으므로 거래 하시고자 하는 새마을금고로문의하셔야 상세한 안내를 받으실 수 있습니다. 새마을금고 위치와 연락처는 홈페이지(www.kfcc.co.kr)에서 검색하실 수 있습니다.
11,대출 및 이율을 알려주세요.,새마을금고는 각각 독립법인으로 대출 및 예금 이율은 새마을금고마다 다르게 운영되고 있습니다. 새마을금고홈페이지(www.kfcc.co.kr) 의 전국새마을금고 위치검색에서 개별새마을금고의 위치 & 금리 & 연락처를 조회하실 수 있으니 상세한 금리는 거래하시고자 하는 금고로 문의하시기 바랍니다.
12,학자금대출은 어디에서 신청하나요?, 한국장학재단 학자금 대출 업무가 2010년도 2 학기에는 등록 대상범위가 재학생으로 축소되어 한국장학 재단에서 대출업무를 취급 하기로 결정되었습니다. 모든 재단 업무제휴은행에서는 2010 년도 2 학기에 학자금 대출신청서 및 가족관계 서류 접수등 관련 업무를  취급하지 않습니다.
13,군인 자격으로 대출을 받을 수 있나요?, 현재 저희 은행에서는 중사이상 5년이상 복무자를 대상으로 군인생활안정자금 대출 상품을 판매하고 있습니다.
14,청약저축 통장을 담보로 대출 받고 싶습니다. 가능한가요?,청약저축 통장에  납입금액의 95% 범위내에서 대출이 가능합니다. 적용이율은 연 5.75% 입니다. (마이너스통장으로 약정시 0.5%가산 → 연6.25% 적용)참고로 동 상품은 인터넷 & 폰뱅킹을 통해서는 대출 신청이 불가능하며 예금주 본인이 청약저축통장과 주민등록증을 준비하시고 가까운 영업점에 방문하시면 됩니다
15,전세자금대출을 받았는데 보증료가 무엇입니까?,전세자금대출은 주택금융 신용보증서를 담보로 하여 대출 취급함을 원칙으로 하고 있습니다. 그렇기 때문에 보증서 발급요건에 부합되어야만 전세자금대출을 이용하실 수 있습니다.주택금융 신용보증서를 담보로 하여 대출이 취급되기 때문에 일년에 한번씩 보증금액 & 보증기간등을 감안하여 산출된 보증료를 선납하여 납입하게 되어 있습니다.
16,미성년자 소유의 주택을 담보로 대출을 받을 수 있습니까?,현재 대출상담 접수일 현재 만 20세미만인 미성년자(기혼자 제외)에 대한 신규 주택담보대출(중도금대출 및 이주비대출 & 채무인수 포함)은 취급이 불가합니다. 다만 소년소녀 가장 등 부모가 없는 미성년자의 경우는 예외 취급 가능합니다.
17,전세자금대출을 받았는데 보증료가 무엇입니까?,전세자금대출은 주택금융 신용보증서를 담보로 하여 대출 취급함을 원칙으로 하고 있습니다. 그렇기 때문에 보증서 발급요건에 부합되어야만 전세자금대출을 이용하실 수 있습니다.
18,외국인도 대출이 가능한가요?,외국인에 대한 대출은 보증자격이 있는 국내 거주 국민이 연대보증하거나 은행이 인정하는 담보를 제공하는 경우에 한하여 취급할 수 있습니다. 단 거주성 여부에 따라 취급방법이 다르므로 자세한 상담은 해당 거래점으로 문의하시기 바랍니다.
19,예금담보대출을 받았는데 어떻게 갚나요?,예·부·적금 담보대출은 매월 약정납입일에 이자를 납부하시고 만기에 대출원금을 일시에 상환하시면 됩니다.
20,신용대출 가능금액을 알고 싶습니다.,국민은행에서 신용대출을 받고자 하실 경우 먼저 CSS 신용평가를 받아 보셔야 대출에 대한 가부판단을 받으실 수 있습니다.
21,공무원 자격으로 대출을 받을 수 있나요?,현재 저희은행에서는 재직중인 공무원을 대상으로 KB공무원 우대대출 상품을 판매하고 있습니다.
22,신용대출(마이너스통장포함)을 받고싶은데 얼마나 받을 수 있을까요?,신용대출 한도는 고객님의 연소득 & 부채 & 신용도 & 재직정보 등의 신상정보와 당행거래실적 등을 기준으로 산출하고 있으므로 개인별 한도가 다르게 결정되고 있습니다.
23,인터넷으로 대출상환이 되나요?,인터넷 & 스마트뱅킹이 가입되신 경우에 대출금상환이 가능합니다.
24,신용대출 만기가 다가오는데 연장은 어떻게 신청 할 수 있나요?,대출의 기간연장은 만기일로부터 1달 전부터 신청이 가능합니다.
25,마이너스통장의 대출이자는 언제 출금 되나요?,대출이자 출금은 매월 제3토요일 또는 마지막주 토요일 중 대출약정 체결시 선택한 토요일 다음날(일요일) 마이너스 계좌에서 처리됩니다.
26,주택을 구입하면서 잔금이 부족한데 대출이 가능하나요?,잔금일자에 소유권이전등기 및 근저당설정과 대출금 지급이 함께 진행되도록 취급됩니다.
